game_id,liga,equipo,jugador,posicion,minutos,xg,xa
21925,premier,Luton,Alfie Doughty,DR,80,0.020794527605175972,0.10733500868082047
21925,premier,Luton,Amari'i Bell,DC,90,0.0,0.0
21925,premier,Luton,Carlton Morris,FW,90,0.12312197685241699,0.5723549723625183
21925,premier,Luton,Cauley Woodrow,Sub,4,0.0,0.04392188787460327
21925,premier,Luton,Chiedozie Ogbene,Sub,10,0.04392188787460327,0.0
21925,premier,Luton,Elijah Adebayo,FW,73,0.25288480520248413,0.020794527605175972
21925,premier,Luton,Issa Kabore,Sub,17,0.0,0.0
21925,premier,Luton,Jacob Brown,Sub,17,0.0,0.0
21925,premier,Luton,Mads Andersen,DC,90,0.6246448755264282,0.0
21925,premier,Luton,Marvelous Nakamba,MC,90,0.0,0.12690652906894684
21925,premier,Luton,Pelly Ruddock Mpanzu,Sub,17,0.0,0.0
21925,premier,Luton,Reece Burke,DC,90,0.4877365231513977,0.4744294285774231
21925,premier,Luton,Ross Barkley,MC,73,0.15917493402957916,0.5400264263153076
21925,premier,Luton,Ryan John Giles,DL,73,0.0,0.029184481129050255
21925,premier,Luton,Tahith Chong,MC,86,0.492087721824646,0.0
21925,premier,Luton,Thomas Kaminski,GK,90,0.0,0.0
21925,premier,West Ham,Alphonse Areola,GK,90,0.0,0.0
21925,premier,West Ham,Danny Ings,Sub,8,0.0,0.0
21925,premier,West Ham,Edson Álvarez,DMC,90,0.0643242746591568,0.05303558334708214
21925,premier,West Ham,Emerson,DL,90,0.0,0.0
21925,premier,West Ham,James Ward-Prowse,DMC,90,0.0,0.3709331154823303
21925,premier,West Ham,Jarrod Bowen,AMR,90,0.5454335808753967,0.0
21925,premier,West Ham,Kurt Zouma,DC,90,0.3709331154823303,0.0
21925,premier,West Ham,Lucas Paquetá,AMC,90,0.0,0.517398476600647
21925,premier,West Ham,Michail Antonio,FW,82,0.0,0.0
21925,premier,West Ham,Mohammed Kudus,Sub,1,0.0,0.0
21925,premier,West Ham,Naif Aguerd,DC,90,0.0,0.028035087510943413
21925,premier,West Ham,Pablo Fornals,Sub,17,0.0,0.0
21925,premier,West Ham,Said Benrahma,AML,73,0.24458438158035278,0.0
21925,premier,West Ham,Vladimir Coufal,DR,90,0.0,0.019817059859633446
21928,premier,Bournemouth,Antoine Semenyo,AMR,63,0.32455065846443176,0.0
21928,premier,Bournemouth,Chris Mepham,Sub,1,0.0,0.0
21928,premier,Bournemouth,David Brooks,Sub,27,1.0404340028762817,0.0
21928,premier,Bournemouth,Dominic Solanke,FW,90,0.4898083508014679,0.05927273631095886
21928,premier,Bournemouth,Illia Zabarnyi,DC,90,0.0,0.0
21928,premier,Bournemouth,Justin Kluivert,AML,74,0.04987476393580437,0.07140611112117767
21928,premier,Bournemouth,Lewis Cook,DMC,90,0.0,0.0
21928,premier,Bournemouth,Marcos Senesi,DC,90,0.0,0.10683128982782364
21928,premier,Bournemouth,Marcus Tavernier,Sub,16,0.0,0.9737005829811096
21928,premier,Bournemouth,Max Aarons,DR,90,0.0,0.0
21928,premier,Bournemouth,Milos Kerkez,DL,90,0.0,0.018334733322262764
21928,premier,Bournemouth,Neto,GK,90,0.0,0.0
21928,premier,Bournemouth,Philip Billing,AMC,90,0.08974084258079529,0.09745500236749649
21928,premier,Bournemouth,Ryan Christie,DMC,90,0.11845281720161438,0.38297706842422485
