fecha,game_id,liga,local,visita,goles_local,goles_visita,xg_local,xg_visita,npxg_local,npxg_visita,tiros_local,tiros_visita,sot_local,sot_visita,cuota_h,cuota_d,cuota_a
2023-08-18,23065,bundesliga,Werder Bremen,Bayern Munich,0,4,0.63974,2.89704,0.63974,2.89704,6,25,1,10,7.5,6.5,1.3
2023-08-19,23069,bundesliga,Augsburg,M'gladbach,4,4,2.53482,1.91849,1.77704,1.16071,20,9,8,6,2.7,3.6,2.45
2023-08-19,23066,bundesliga,Leverkusen,RB Leipzig,3,2,1.73279,1.60393,1.73279,1.60393,11,13,7,6,2.45,3.6,2.75
2023-08-19,23071,bundesliga,Dortmund,FC Koln,1,0,1.72317,1.51393,1.72317,1.51393,12,11,2,4,1.4,5.0,7.0
2023-08-19,23068,bundesliga,Hoffenheim,Freiburg,1,2,1.67186,3.24821,1.67186,3.24821,24,17,5,8,2.3,3.6,2.9
2023-08-19,23070,bundesliga,Stuttgart,Bochum,5,0,3.98664,0.669108,3.98664,0.669108,19,4,9,1,1.65,4.33,4.5
2023-08-19,23067,bundesliga,Wolfsburg,Heidenheim,2,0,3.21449,1.17776,3.21449,1.17776,18,13,8,1,1.6,4.2,5.25
2023-08-20,23073,bundesliga,Ein Frankfurt,Darmstadt,1,0,1.2399,0.813333,1.2399,0.813333,10,11,4,2,1.36,5.25,7.5
2023-08-20,23072,bundesliga,Union Berlin,Mainz,4,1,2.11281,2.51995,2.11281,1.0044,12,9,7,3,1.95,3.5,3.9
2023-08-25,23074,bundesliga,RB Leipzig,Stuttgart,5,1,2.0934,1.18326,2.0934,1.18326,20,8,11,3,1.5,4.75,5.75
2023-08-26,23077,bundesliga,Bochum,Dortmund,1,1,1.01164,1.17241,1.01164,1.17241,17,13,6,3,7.0,5.0,1.4
2023-08-26,23080,bundesliga,M'gladbach,Leverkusen,0,3,1.76423,3.65301,1.76423,3.65301,13,24,2,10,3.8,3.8,1.85
2023-08-26,23079,bundesliga,Darmstadt,Union Berlin,1,4,2.59994,1.6379,2.59994,1.6379,18,12,6,6,4.0,3.3,1.95
2023-08-26,23076,bundesliga,FC Koln,Wolfsburg,1,2,0.64301,2.26952,0.64301,2.26952,14,9,2,6,2.3,3.4,3.0
2023-08-26,23078,bundesliga,Heidenheim,Hoffenheim,2,3,2.72999,2.75768,1.97221,1.99991,19,16,9,6,3.0,3.6,2.25
2023-08-26,23075,bundesliga,Freiburg,Werder Bremen,1,0,1.71877,0.696983,1.71877,0.696983,23,16,6,2,1.7,3.75,4.75
2023-08-27,23082,bundesliga,Bayern Munich,Augsburg,3,1,2.82296,0.726241,2.06518,0.726241,19,11,6,2,1.08,12.0,19.0
2023-08-27,23081,bundesliga,Mainz,Ein Frankfurt,1,1,1.44234,1.15731,1.44234,1.15731,13,8,7,2,2.38,3.5,2.88
2023-09-01,23083,bundesliga,Dortmund,Heidenheim,2,2,2.74794,2.09517,1.99017,1.33739,20,15,9,6,1.25,7.0,9.5
2023-09-02,23087,bundesliga,Augsburg,Bochum,2,2,1.88106,1.86494,1.88106,1.86494,11,22,3,9,2.0,3.75,3.75
2023-09-02,23084,bundesliga,Leverkusen,Darmstadt,5,1,3.42599,0.681851,3.42599,0.681851,24,5,13,1,1.2,7.0,12.0
2023-09-02,23089,bundesliga,M'gladbach,Bayern Munich,1,2,0.201237,2.14949,0.201237,2.14949,8,25,3,9,8.5,5.75,1.3
2023-09-02,23085,bundesliga,Hoffenheim,Wolfsburg,3,1,1.78689,1.4154,1.78689,1.4154,11,14,5,7,2.5,3.6,2.63
2023-09-02,23088,bundesliga,Stuttgart,Freiburg,5,0,2.09598,1.50372,2.09598,1.50372,13,11,6,5,2.2,3.5,3.2
2023-09-02,23086,bundesliga,Werder Bremen,Mainz,4,0,3.01318,0.65805,2.2554,0.65805,12,12,6,3,2.63,3.5,2.55
2023-09-03,23090,bundesliga,Ein Frankfurt,FC Koln,1,1,1.2824,0.931141,1.2824,0.173364,12,6,4,2,2.1,3.4,3.5
2023-09-03,23091,bundesliga,Union Berlin,RB Leipzig,0,3,0.17815,1.21402,0.17815,1.21402,4,15,1,8,3.4,3.25,2.2
2023-09-15,23092,bundesliga,Bayern Munich,Leverkusen,2,2,2.74374,2.4584,2.74374,1.70062,15,12,9,5,1.65,4.5,4.5
2023-09-16,23098,bundesliga,Bochum,Ein Frankfurt,1,1,2.17324,0.737999,1.41547,0.737999,24,8,10,6,2.88,3.6,2.38
2023-09-16,23097,bundesliga,FC Koln,Hoffenheim,1,3,1.19432,1.06988,1.19432,1.06988,17,17,7,5,2.25,3.6,3.1
2023-09-16,23094,bundesliga,Freiburg,Dortmund,2,4,1.14667,3.37255,1.14667,3.37255,14,14,4,6,3.1,3.8,2.1
2023-09-16,23096,bundesliga,Mainz,Stuttgart,1,3,1.16545,2.06366,1.16545,2.06366,15,16,3,6,2.63,3.4,2.7
2023-09-16,23093,bundesliga,RB Leipzig,Augsburg,3,0,1.46279,1.34046,1.46279,1.34046,9,16,6,4,1.25,7.0,10.0
2023-09-16,23095,bundesliga,Wolfsburg,Union Berlin,2,1,0.566932,1.56941,0.566932,1.56941,8,17,3,5,2.25,3.4,3.2
2023-09-17,23100,bundesliga,Darmstadt,M'gladbach,3,3,1.328,3.49324,1.328,2.73546,15,21,8,10,2.9,3.5,2.38
2023-09-17,23099,bundesliga,Heidenheim,Werder Bremen,4,2,1.96235,2.55978,1.20457,1.67496,19,11,4,4,2.3,4.0,2.7
2023-09-22,23101,bundesliga,Stuttgart,Darmstadt,3,1,3.04946,0.272376,3.04946,0.272376,18,3,11,0,1.36,4.5,8.0
2023-09-23,23102,bundesliga,Augsburg,Mainz,2,1,1.04683,0.487325,1.04683,0.487325,6,13,3,3,2.55,3.5,2.63
2023-09-23,23104,bundesliga,Bayern Munich,Bochum,7,0,6.02607,0.0892044,5.2683,0.0892044,26,4,16,1,1.11,10.0,19.0
2023-09-23,23105,bundesliga,Dortmund,Wolfsburg,1,0,2.16482,0.343309,2.16482,0.343309,18,8,4,2,1.65,4.0,4.75
2023-09-23,23103,bundesliga,M'gladbach,RB Leipzig,0,1,0.771966,1.03744,0.771966,1.03744,13,8,1,4,4.75,4.75,1.57
2023-09-23,23106,bundesliga,Union Berlin,Hoffenheim,0,2,1.62442,2.15364,1.62442,1.39586,22,11,6,4,2.05,3.6,3.4
2023-09-23,23107,bundesliga,Werder Bremen,FC Koln,2,1,1.59965,1.98951,1.59965,1.98951,17,13,6,5,2.5,3.6,2.6
2023-09-24,23108,bundesliga,Leverkusen,Heidenheim,4,1,3.97445,0.659741,3.21668,0.659741,20,1,10,1,1.22,6.5,12.0
2023-09-24,23109,bundesliga,Ein Frankfurt,Freiburg,0,0,0.754063,0.407479,0.754063,0.407479,13,9,5,2,2.05,3.6,3.4
2023-09-29,23110,bundesliga,Hoffenheim,Dortmund,1,3,1.85129,1.69401,1.09352,1.69401,15,6,5,5,3.1,4.0,2.05
2023-09-30,23111,bundesliga,Bochum,M'gladbach,1,3,1.46515,2.86793,1.46515,2.86793,23,25,5,9,2.3,3.75,2.9
2023-09-30,23115,bundesliga,FC Koln,Stuttgart,0,2,0.803426,2.06666,0.803426,2.06666,14,18,5,4,2.88,3.5,2.38
2023-09-30,23112,bundesliga,Heidenheim,Union Berlin,1,0,0.542933,2.1613,0.542933,2.1613,9,19,4,8,3.0,3.6,2.25
2023-09-30,23114,bundesliga,Mainz,Leverkusen,0,3,0.388975,0.811962,0.388975,0.811962,10,6,3,3,5.75,4.5,1.53
2023-09-30,23116,bundesliga,RB Leipzig,Bayern Munich,2,2,0.793383,1.95099,0.793383,1.19322,7,11,2,5,3.4,4.2,1.91
2023-09-30,23113,bundesliga,Wolfsburg,Ein Frankfurt,2,0,2.77737,1.09205,1.88018,1.09205,19,7,7,3,2.05,3.5,3.5
2023-10-01,23117,bundesliga,Darmstadt,Werder Bremen,4,2,2.34923,1.54627,1.59145,1.54627,14,10,5,7,2.8,3.8,2.3
2023-10-01,23118,bundesliga,Freiburg,Augsburg,2,0,1.2721,1.00081,0.51432,1.00081,7,13,3,4,1.73,4.0,4.75
2023-10-06,23119,bundesliga,M'gladbach,Mainz,2,2,3.01512,1.21309,3.01512,1.21309,20,13,9,7,2.05,3.75,3.4
2023-10-07,23122,bundesliga,Augsburg,Darmstadt,1,2,1.18473,1.96153,1.18473,1.20376,17,17,3,5,1.85,3.75,4.0
2023-10-07,23120,bundesliga,Dortmund,Union Berlin,4,2,1.76935,1.5245,1.76935,0.766724,12,12,7,6,1.57,4.33,5.25
2023-10-07,23121,bundesliga,RB Leipzig,Bochum,0,0,2.22631,0.741054,0.710757,0.741054,18,9,5,2,1.25,6.0,11.0
2023-10-07,23123,bundesliga,Stuttgart,Wolfsburg,3,1,3.02575,1.06355,2.26797,1.06355,13,12,7,5,2.0,3.5,3.75
2023-10-07,23124,bundesliga,Werder Bremen,Hoffenheim,2,3,1.03064,1.52805,1.03064,1.52805,13,11,3,4,2.75,3.75,2.4
2023-10-08,23125,bundesliga,Leverkusen,FC Koln,3,0,3.72502,1.41915,3.72502,1.41915,21,7,10,3,1.33,5.5,8.0
2023-10-08,23126,bundesliga,Bayern Munich,Freiburg,3,0,2.37438,0.0704987,2.37438,0.0704987,21,2,5,0,1.14,8.5,17.0
2023-10-08,23127,bundesliga,Ein Frankfurt,Heidenheim,2,0,1.83609,0.625618,1.07831,0.625618,12,7,6,2,1.7,4.0,4.75
2023-10-20,23128,bundesliga,Dortmund,Werder Bremen,1,0,2.7285,0.53973,2.7285,0.53973,22,6,5,1,1.29,6.5,8.0
2023-10-21,23133,bundesliga,Darmstadt,RB Leipzig,1,3,1.68331,1.83161,0.925533,1.83161,16,10,3,7,6.5,4.75,1.44
2023-10-21,23130,bundesliga,Freiburg,Bochum,2,1,2.5274,1.37705,1.76962,1.37705,15,13,5,5,1.7,3.75,5.0
2023-10-21,23132,bundesliga,Hoffenheim,Ein Frankfurt,1,3,1.13281,2.13235,1.13281,2.13235,14,13,5,5,2.1,3.5,3.4
2023-10-21,23134,bundesliga,Mainz,Bayern Munich,1,3,0.975025,1.68693,0.975025,1.68693,14,12,3,5,9.0,6.0,1.29
2023-10-21,23129,bundesliga,Union Berlin,Stuttgart,0,3,0.573025,1.87513,0.573025,1.87513,10,10,2,5,2.5,3.5,2.7
2023-10-21,23131,bundesliga,Wolfsburg,Leverkusen,1,2,1.3318,2.27695,1.3318,2.27695,18,13,7,6,4.33,4.0,1.75
2023-10-22,23135,bundesliga,FC Koln,M'gladbach,3,1,2.72755,0.407008,1.212,0.407008,21,5,8,2,2.4,3.6,2.88
2023-10-22,23136,bundesliga,Heidenheim,Augsburg,2,5,1.99327,2.82353,1.99327,2.06575,16,9,5,6,2.45,3.5,2.8
2023-10-27,23143,bundesliga,Bochum,Mainz,2,2,2.13405,0.443599,1.37628,0.443599,10,10,4,4,2.7,3.3,2.55
2023-10-28,23144,bundesliga,Augsburg,Wolfsburg,3,2,1.59374,1.25516,1.59374,0.497379,9,13,5,6,2.9,3.5,2.38
2023-10-28,23137,bundesliga,Bayern Munich,Darmstadt,8,0,5.884,0.924873,5.884,0.924873,28,10,16,4,1.06,12.0,26.0
2023-10-28,23141,bundesliga,M'gladbach,Heidenheim,2,1,0.981009,0.395956,0.981009,0.395956,11,8,6,3,1.8,4.0,4.0
2023-10-28,23138,bundesliga,RB Leipzig,FC Koln,6,0,4.85886,1.32863,4.10108,1.32863,24,6,13,1,1.44,4.75,7.0
2023-10-28,23145,bundesliga,Stuttgart,Hoffenheim,2,3,3.15109,1.74412,2.39332,0.986341,23,7,10,5,1.85,4.0,3.8
2023-10-28,23142,bundesliga,Werder Bremen,Union Berlin,2,0,0.690799,0.368624,0.690799,0.368624,9,7,3,2,2.7,3.3,2.6
2023-10-29,23139,bundesliga,Leverkusen,Freiburg,2,1,1.60773,1.02333,1.60773,1.02333,19,10,4,4,1.29,5.5,11.0
2023-10-29,23140,bundesliga,Ein Frankfurt,Dortmund,3,3,3.67492,2.41687,2.91715,2.41687,11,14,7,4,3.4,3.4,2.15
2023-11-03,23154,bundesliga,Darmstadt,Bochum,1,2,0.854923,1.56273,0.854923,1.56273,15,9,4,4,2.3,3.75,2.88
2023-11-04,23146,bundesliga,Dortmund,Bayern Munich,0,4,1.47623,2.86067,1.47623,2.86067,15,14,1,8,4.0,4.33,1.75
