fecha,game_id,liga,local,visita,goles_local,goles_visita,xg_local,xg_visita,npxg_local,npxg_visita,tiros_local,tiros_visita,sot_local,sot_visita,cuota_h,cuota_d,cuota_a
2024-08-23,27742,bundesliga,M'gladbach,Leverkusen,2,3,1.51665,3.23588,1.51665,2.30665,14,25,7,9,5.25,4.5,1.55
2024-08-24,27746,bundesliga,Augsburg,Werder Bremen,2,2,1.31571,1.54312,1.31571,1.54312,10,12,3,6,2.2,3.6,3.1
2024-08-24,27748,bundesliga,Dortmund,Ein Frankfurt,2,0,1.9263,1.15188,1.9263,1.15188,17,7,5,2,1.7,4.1,4.5
2024-08-24,27745,bundesliga,Freiburg,Stuttgart,3,1,3.0149,0.374185,3.0149,0.374185,15,9,4,2,3.5,3.6,2.05
2024-08-24,27744,bundesliga,Hoffenheim,Holstein Kiel,3,2,3.73706,1.97238,2.97928,1.97238,20,15,8,6,1.65,4.5,4.5
2024-08-24,27747,bundesliga,Mainz,Union Berlin,1,1,1.77023,0.731569,1.77023,0.731569,15,15,3,4,2.0,3.4,3.9
2024-08-24,27743,bundesliga,RB Leipzig,Bochum,1,0,0.937134,1.31541,0.937134,1.31541,12,10,3,4,1.25,7.0,9.0
2024-08-25,27750,bundesliga,St Pauli,Heidenheim,0,2,1.1609,1.16833,1.1609,1.16833,11,6,3,3,2.1,3.5,3.4
2024-08-25,27749,bundesliga,Wolfsburg,Bayern Munich,2,3,2.08125,2.17538,1.32348,2.17538,11,14,2,8,6.25,4.75,1.45
2024-08-30,27751,bundesliga,Union Berlin,St Pauli,1,0,1.0488,0.644857,1.0488,0.644857,10,8,5,2,1.91,3.5,4.1
2024-08-31,27757,bundesliga,Leverkusen,RB Leipzig,2,3,3.42266,1.50532,3.42266,1.50532,27,10,10,4,1.75,4.2,4.1
2024-08-31,27752,bundesliga,Bochum,M'gladbach,0,2,0.918629,2.66887,0.918629,2.66887,16,15,4,6,2.6,3.6,2.6
2024-08-31,27756,bundesliga,Ein Frankfurt,Hoffenheim,3,1,2.68507,0.832386,2.68507,0.832386,17,10,7,3,1.8,4.2,3.9
2024-08-31,27754,bundesliga,Holstein Kiel,Wolfsburg,0,2,0.89489,1.4619,0.89489,1.4619,12,12,5,4,3.2,3.7,2.15
2024-08-31,27755,bundesliga,Stuttgart,Mainz,3,3,4.2134,1.95179,4.2134,1.19402,28,9,13,7,1.62,4.33,5.25
2024-08-31,27753,bundesliga,Werder Bremen,Dortmund,0,0,0.278533,0.918302,0.278533,0.918302,5,9,1,4,4.1,4.0,1.8
2024-09-01,27759,bundesliga,Bayern Munich,Freiburg,2,0,1.62797,0.970892,0.87019,0.213115,11,8,4,4,1.2,8.0,11.0
2024-09-01,27758,bundesliga,Heidenheim,Augsburg,4,0,3.09376,0.641534,2.33599,0.641534,17,15,9,1,2.38,3.5,2.9
2024-09-13,27760,bundesliga,Dortmund,Heidenheim,4,2,2.84066,1.61406,2.08289,0.856287,13,11,7,4,1.4,5.5,6.5
2024-09-14,27765,bundesliga,M'gladbach,Stuttgart,1,3,2.05136,2.7214,2.05136,2.7214,15,12,7,7,2.75,4.0,2.3
2024-09-14,27762,bundesliga,Freiburg,Bochum,2,1,3.95617,1.10732,3.95617,1.10732,27,13,9,2,1.7,3.9,5.0
2024-09-14,27761,bundesliga,Hoffenheim,Leverkusen,1,4,1.06356,3.41829,1.06356,2.66052,14,20,5,8,5.75,4.5,1.48
2024-09-14,27766,bundesliga,Holstein Kiel,Bayern Munich,1,6,0.299776,4.13442,0.299776,3.37664,5,23,1,13,11.0,7.0,1.22
2024-09-14,27763,bundesliga,RB Leipzig,Union Berlin,0,0,1.29462,0.859112,0.536839,0.859112,16,11,3,3,1.48,4.5,6.5
2024-09-14,27764,bundesliga,Wolfsburg,Ein Frankfurt,1,2,1.23249,2.86858,1.23249,2.11081,17,15,4,7,2.63,3.6,2.5
2024-09-15,27767,bundesliga,Augsburg,St Pauli,3,1,2.61475,0.49314,2.61475,0.49314,18,12,10,3,2.1,3.6,3.4
