fecha,game_id,liga,local,visita,goles_local,goles_visita,xg_local,xg_visita,npxg_local,npxg_visita,tiros_local,tiros_visita,sot_local,sot_visita,cuota_h,cuota_d,cuota_a
2024-08-15,26982,laliga,Ath Bilbao,Getafe,1,1,0.290195,0.537517,0.290195,0.537517,7,9,4,2,1.48,4.0,8.0
2024-08-15,26983,laliga,Betis,Girona,1,1,1.80582,1.54726,1.80582,1.54726,19,13,4,2,2.35,3.4,3.0
2024-08-16,26984,laliga,Celta,Alaves,2,1,0.793797,1.9391,0.793797,1.9391,6,10,4,2,2.0,3.2,4.1
2024-08-16,26985,laliga,Las Palmas,Sevilla,2,2,1.3187,2.09987,1.3187,2.09987,13,16,5,5,2.8,3.25,2.63
2024-08-17,26986,laliga,Osasuna,Leganes,1,1,1.7631,1.33949,1.7631,1.33949,16,10,5,4,1.85,3.3,4.5
2024-08-17,26987,laliga,Valencia,Barcelona,1,2,1.55206,3.48824,1.55206,2.74496,6,18,1,8,4.75,3.8,1.73
2024-08-18,26989,laliga,Mallorca,Real Madrid,1,1,1.30561,0.608052,1.30561,0.608052,12,13,5,4,8.0,4.2,1.45
2024-08-18,26988,laliga,Sociedad,Vallecano,1,2,1.56608,1.60148,1.56608,1.60148,11,12,5,5,1.57,3.75,7.0
2024-08-19,26990,laliga,Valladolid,Espanol,1,0,1.17753,0.515586,1.17753,0.515586,12,10,3,2,2.38,3.0,3.4
2024-08-19,26991,laliga,Villarreal,Ath Madrid,2,2,0.68684,1.13868,0.68684,1.13868,8,10,3,5,3.3,3.7,2.1
2024-08-23,26992,laliga,Celta,Valencia,3,1,1.30571,1.1544,0.562433,1.1544,7,13,5,5,2.1,3.4,3.6
2024-08-23,26993,laliga,Sevilla,Villarreal,1,2,1.23826,1.39825,1.23826,1.39825,15,6,9,5,2.4,3.6,2.8
2024-08-24,26995,laliga,Barcelona,Ath Bilbao,2,1,2.41577,1.09985,2.41577,0.356575,13,9,5,2,1.62,4.2,5.0
2024-08-24,26997,laliga,Espanol,Sociedad,0,1,1.79566,0.796104,1.79566,0.796104,13,8,3,4,3.9,3.2,2.05
2024-08-24,26996,laliga,Getafe,Vallecano,0,0,0.512723,0.161076,0.512723,0.161076,12,3,0,1,2.45,3.0,3.2
2024-08-24,26994,laliga,Osasuna,Mallorca,1,0,0.887678,0.427602,0.887678,0.427602,15,11,5,2,2.45,3.1,3.1
2024-08-25,27000,laliga,Alaves,Betis,0,0,0.172545,1.36012,0.172545,1.36012,3,13,1,3,2.38,3.1,3.25
2024-08-25,27001,laliga,Ath Madrid,Girona,3,0,1.42393,0.596524,1.42393,0.596524,11,13,6,5,1.6,4.1,5.5
2024-08-25,26999,laliga,Leganes,Las Palmas,2,1,1.58998,1.23438,0.846702,1.23438,10,10,5,5,2.25,3.0,3.6
2024-08-25,26998,laliga,Real Madrid,Valladolid,3,0,2.17954,0.378528,2.17954,0.378528,17,8,9,2,1.18,7.5,15.0
2024-08-26,27002,laliga,Villarreal,Celta,4,3,4.3817,3.79183,3.49735,3.79183,22,18,9,8,1.91,3.4,3.8
2024-08-27,27003,laliga,Mallorca,Sevilla,0,0,0.940858,0.60976,0.940858,0.60976,12,16,4,7,2.38,3.1,3.25
2024-08-27,27004,laliga,Vallecano,Barcelona,1,2,0.392473,1.51872,0.392473,1.51872,8,22,4,5,5.25,3.8,1.62
2024-08-28,27006,laliga,Ath Bilbao,Valencia,1,0,1.51595,0.0996371,1.51595,0.0996371,13,2,4,0,1.62,3.9,5.75
2024-08-28,27009,laliga,Ath Madrid,Espanol,0,0,3.88587,0.855829,3.88587,0.855829,24,8,7,1,1.3,5.25,11.0
2024-08-28,27008,laliga,Sociedad,Alaves,1,2,0.951647,2.62561,0.951647,1.88233,8,12,1,5,1.7,3.5,5.75
2024-08-28,27005,laliga,Valladolid,Leganes,0,0,0.773785,0.184577,0.773785,0.184577,12,8,2,1,2.3,3.0,3.6
