fecha,game_id,liga,local,visita,goles_local,goles_visita,xg_local,xg_visita,npxg_local,npxg_visita,tiros_local,tiros_visita,sot_local,sot_visita,cuota_h,cuota_d,cuota_a
2026-08-15,30770,laliga,Alaves,Getafe,3,0,2.28581,0.259705,2.28581,0.259705,18,6,8,2,2.35,2.8,3.75
2026-08-15,30771,laliga,Sevilla,Vallecano,2,1,2.01841,1.91219,0.531854,1.91219,13,6,4,3,2.3,3.1,3.4
2026-08-16,30773,laliga,Espanol,Levante,3,0,2.0099,0.196262,2.0099,0.196262,16,4,6,0,2.0,3.25,4.0
2026-08-16,30772,laliga,Santander,Villarreal,2,2,1.96477,0.768799,1.22149,0.768799,17,12,3,7,3.2,3.6,2.15
2026-08-17,30774,laliga,La Coruna,Elche,1,1,0.33987,1.58691,0.33987,1.58691,8,11,3,6,2.3,3.0,3.5
2026-08-19,30775,laliga,Ath Madrid,Malaga,2,0,1.34391,0.229576,1.34391,0.229576,15,5,6,1,1.33,5.25,9.5
2026-08-20,30776,laliga,Vallecano,Alaves,1,1,0.566429,2.22075,0.566429,2.22075,8,15,3,3,2.25,3.0,3.6
2026-08-21,30777,laliga,Betis,Sociedad,1,0,1.69571,1.14003,1.69571,1.14003,18,9,7,3,2.05,3.5,3.5
2026-08-22,30778,laliga,Ath Bilbao,Sevilla,1,3,1.46496,0.966795,1.46496,0.966795,18,7,8,4,1.7,3.6,5.25
2026-08-22,30780,laliga,Espanol,Real Madrid,1,2,1.01908,2.56122,1.01908,2.56122,8,21,3,8,7.0,4.5,1.44
2026-08-22,30779,laliga,Valencia,Celta,0,0,0.420581,0.537309,0.420581,0.537309,8,7,2,3,2.35,3.2,3.2
2026-08-23,30781,laliga,Ath Madrid,Villarreal,2,2,0.739413,3.54183,0.739413,2.05528,19,13,4,6,1.85,3.6,4.1
2026-08-23,30783,laliga,Elche,Barcelona,0,5,1.17646,4.25182,1.17646,3.50854,7,11,2,7,9.0,5.75,1.3
2026-08-23,30782,laliga,Getafe,Santander,1,0,0.982608,1.1679,0.982608,0.424621,12,6,1,3,2.2,2.9,3.9
2026-08-24,30785,laliga,Malaga,La Coruna,1,1,1.35649,1.1297,0.613214,1.1297,13,6,2,4,2.5,3.1,3.1
2026-08-24,30784,laliga,Osasuna,Levante,0,0,0.892536,1.27031,0.892536,1.27031,12,11,7,1,1.83,3.6,4.33
2026-08-25,30786,laliga,Valencia,Betis,0,1,1.28989,0.964495,1.28989,0.964495,16,15,3,3,2.8,3.3,2.55
2026-08-26,30787,laliga,Real Madrid,Sociedad,4,1,3.30519,0.462997,3.30519,0.462997,20,10,11,3,1.3,6.25,8.0
2026-08-27,30789,laliga,Barcelona,Ath Bilbao,2,0,3.9166,0.221962,3.9166,0.221962,22,5,10,0,1.33,5.25,8.0
2026-08-27,30788,laliga,Celta,Osasuna,1,2,0.106731,1.89653,0.106731,1.15325,4,13,2,5,2.0,3.3,4.0
2026-08-28,30791,laliga,Alaves,Villarreal,1,0,0.915469,1.45107,0.915469,1.45107,9,19,2,6,3.2,3.5,2.2
2026-08-28,30790,laliga,Santander,Elche,3,2,2.56226,1.07551,2.56226,1.07551,13,18,6,7,2.0,3.6,3.6
2026-08-29,30792,laliga,Levante,Betis,5,2,3.0376,1.92286,3.0376,1.92286,19,20,10,6,3.4,3.3,2.2
2026-08-29,30793,laliga,Sociedad,Espanol,2,1,2.91657,0.929949,2.91657,0.929949,17,11,10,3,1.91,3.6,4.0
2026-08-29,30794,laliga,Sevilla,Ath Madrid,1,3,1.08053,1.47677,1.08053,1.47677,20,12,5,5,3.6,3.3,2.1
2026-08-30,30797,laliga,Celta,Ath Bilbao,0,2,1.20059,3.13299,1.20059,3.13299,8,17,2,7,2.38,3.2,3.1
2026-08-30,30796,laliga,La Coruna,Valencia,3,1,1.40751,1.01663,1.40751,1.01663,11,12,4,4,2.55,3.0,3.1
2026-08-30,30795,laliga,Real Madrid,Malaga,4,0,3.40784,0.760169,3.40784,0.760169,19,14,8,1,1.11,9.0,21.0
2026-08-31,30799,laliga,Barcelona,Vallecano,5,2,2.9576,1.06614,2.9576,1.06614,26,11,9,5,1.17,8.0,13.0
2026-08-31,30798,laliga,Osasuna,Getafe,1,0,1.70503,1.09043,0.961748,1.09043,10,11,2,1,2.2,3.0,3.75
2026-09-03,30800,laliga,Sociedad,Celta,0,0,1.02047,0.633241,1.02047,0.633241,16,7,5,2,1.95,3.6,3.8
2026-09-04,30801,laliga,Betis,Real Madrid,1,0,0.885249,3.38283,0.885249,2.63955,10,20,5,8,7.0,5.25,1.38
2026-09-05,30802,laliga,Ath Bilbao,Ath Madrid,3,0,1.87212,0.752183,1.87212,0.752183,11,15,4,5,3.1,3.3,2.3
2026-09-05,30803,laliga,Vallecano,Santander,3,2,1.18959,0.632853,1.18959,0.632853,16,9,10,4,2.25,3.25,3.3
2026-09-05,30804,laliga,Villarreal,La Coruna,2,3,3.64239,2.44247,3.64239,2.44247,17,8,5,3,1.5,4.2,6.5
2026-09-06,30807,laliga,Alaves,Osasuna,5,2,1.60188,1.64406,1.60188,0.900784,12,7,7,5,2.25,3.1,3.5
2026-09-06,30808,laliga,Espanol,Sevilla,1,1,1.81745,0.372572,1.81745,0.372572,12,6,3,3,2.3,3.1,3.4
2026-09-06,30806,laliga,Malaga,Levante,0,0,1.72661,1.19172,0.983332,1.19172,10,11,3,3,2.38,3.25,3.0
2026-09-06,30805,laliga,Valencia,Barcelona,0,5,0.518846,4.76916,0.518846,4.76916,3,25,2,10,10.0,5.75,1.29
2026-09-07,30810,laliga,Elche,Sociedad,2,3,2.87045,0.876198,2.87045,0.876198,20,13,10,6,3.1,3.25,2.38
2026-09-07,30809,laliga,Getafe,Celta,1,1,1.45841,1.42122,1.45841,1.42122,10,16,2,3,2.4,2.9,3.4
2026-09-11,30818,laliga,Sevilla,Valencia,1,0,1.35505,0.0798948,1.35505,0.0798948,13,3,4,0,1.95,3.4,4.0
2026-09-12,30812,laliga,Ath Bilbao,Elche,1,1,3.13039,0.816135,3.13039,0.0728571,19,3,3,1,1.4,4.75,7.5
2026-09-12,30820,laliga,Osasuna,Espanol,0,2,1.10365,1.40951,1.10365,1.40951,11,6,4,3,2.15,3.1,3.75
