fecha,game_id,liga,local,visita,goles_local,goles_visita,xg_local,xg_visita,npxg_local,npxg_visita,tiros_local,tiros_visita,sot_local,sot_visita,cuota_h,cuota_d,cuota_a
2023-08-13,23378,ligue1,Brest,Lens,3,2,2.91934,0.960002,1.39915,0.960002,15,10,8,2,4.0,3.5,1.91
2023-08-12,23372,ligue1,Marseille,Reims,2,1,1.5127,0.993374,1.5127,0.993374,14,11,4,4,1.7,4.0,4.75
2023-08-11,23377,ligue1,Nice,Lille,1,1,1.12141,1.53437,1.12141,1.53437,8,12,3,5,2.6,3.5,2.7
2023-08-12,23379,ligue1,Paris SG,Lorient,0,0,1.36166,0.136269,1.36166,0.136269,20,4,4,0,1.33,5.5,7.5
2023-08-13,23375,ligue1,Clermont,Monaco,2,4,1.97981,3.40428,1.97981,3.40428,15,14,7,8,3.6,3.6,2.0
2023-08-13,23376,ligue1,Montpellier,Le Havre,2,2,1.2977,1.24958,1.2977,1.24958,15,12,5,4,1.91,3.6,4.0
2023-08-13,23374,ligue1,Nantes,Toulouse,1,2,1.07028,2.06035,0.31018,2.06035,9,9,4,5,2.5,3.4,2.75
2023-08-13,23371,ligue1,Rennes,Metz,5,1,4.67967,0.561838,4.67967,0.561838,29,9,14,3,1.4,4.75,7.5
2023-08-13,23373,ligue1,Strasbourg,Lyon,2,1,1.16184,2.05387,1.16184,2.05387,8,23,2,7,2.55,3.6,2.55
2023-08-18,23388,ligue1,Metz,Marseille,2,2,0.360903,1.49349,0.360903,1.49349,10,22,5,5,5.0,4.0,1.67
2023-08-19,23384,ligue1,Lyon,Montpellier,1,4,0.641589,1.91808,0.641589,1.91808,7,14,3,8,1.7,4.2,4.33
2023-08-19,23380,ligue1,Toulouse,Paris SG,1,1,1.15991,2.00415,0.399817,1.24405,8,16,2,3,4.75,4.2,1.65
2023-08-20,23387,ligue1,Le Havre,Brest,1,2,0.866995,1.60466,0.866995,1.60466,18,10,7,5,2.7,3.2,2.7
2023-08-20,23386,ligue1,Lens,Rennes,1,1,1.3445,1.62597,1.3445,0.865874,15,10,4,5,2.4,3.6,2.75
