fecha,game_id,liga,local,visita,goles_local,goles_visita,xg_local,xg_visita,npxg_local,npxg_visita,tiros_local,tiros_visita,sot_local,sot_visita,cuota_h,cuota_d,cuota_a
2024-08-16,28048,ligue1,Le Havre,Paris SG,1,4,0.197023,2.9098,0.197023,2.14971,5,14,2,9,7.0,4.75,1.42
2024-08-17,28049,ligue1,Brest,Marseille,1,5,1.51475,2.96496,0.754656,1.44477,7,7,5,5,3.0,3.3,2.4
2024-08-17,28051,ligue1,Monaco,St Etienne,1,0,2.78444,0.484117,2.78444,0.484117,13,7,6,4,1.48,4.5,6.25
2024-08-17,28050,ligue1,Reims,Lille,0,2,0.0758907,2.31711,0.0758907,2.31711,2,21,0,6,3.3,3.4,2.2
2024-08-18,28055,ligue1,Angers,Lens,0,1,0.297792,1.04077,0.297792,1.04077,4,10,3,5,5.75,3.8,1.62
2024-08-18,28052,ligue1,Auxerre,Nice,2,1,3.03248,0.58056,3.03248,0.58056,16,9,7,2,3.1,3.25,2.35
2024-08-18,28053,ligue1,Montpellier,Strasbourg,1,1,1.44704,1.10476,0.686941,1.10476,7,11,5,4,2.0,3.3,3.75
2024-08-18,28056,ligue1,Rennes,Lyon,3,0,2.57411,2.20066,2.57411,1.33962,22,16,8,2,2.35,3.5,2.9
2024-08-18,28054,ligue1,Toulouse,Nantes,0,0,1.50937,0.513845,1.50937,0.513845,7,6,3,2,2.1,3.3,3.7
2024-08-23,28057,ligue1,Paris SG,Montpellier,6,0,4.93703,0.772997,4.93703,0.772997,21,6,10,3,1.25,7.0,10.0
2024-08-24,28059,ligue1,Lille,Angers,2,0,1.25796,0.737042,1.25796,0.737042,11,5,6,2,1.36,4.75,9.0
2024-08-24,28058,ligue1,Lyon,Monaco,0,2,0.0144803,2.60916,0.0144803,2.60916,2,15,1,4,2.5,3.8,2.6
2024-08-24,28060,ligue1,St Etienne,Le Havre,0,2,1.48827,2.23362,1.48827,1.47353,18,14,5,5,2.1,3.4,3.5
2024-08-25,28061,ligue1,Lens,Brest,2,0,4.01926,0.695576,4.01926,0.695576,22,10,11,2,1.8,3.7,4.5
2024-08-25,28065,ligue1,Marseille,Reims,2,2,2.94016,1.01201,2.94016,1.01201,16,12,10,3,1.53,4.5,5.5
2024-08-25,28064,ligue1,Nantes,Auxerre,2,0,1.52541,0.876338,1.52541,0.876338,8,10,6,3,2.25,3.3,3.25
2024-08-25,28062,ligue1,Nice,Toulouse,1,1,1.23725,0.946618,1.23725,0.946618,10,15,4,3,1.85,3.4,4.5
2024-08-25,28063,ligue1,Strasbourg,Rennes,3,1,1.58875,1.40309,1.58875,1.40309,9,13,5,5,3.1,3.5,2.25
2024-08-30,28066,ligue1,Lyon,Strasbourg,4,3,3.22754,2.44695,3.22754,2.44695,22,14,13,7,1.85,3.75,4.0
2024-08-31,28067,ligue1,Brest,St Etienne,4,0,3.60698,0.256612,2.08679,0.256612,17,3,7,0,1.8,3.8,4.33
2024-08-31,28068,ligue1,Montpellier,Nantes,1,3,0.745975,1.69437,0.745975,0.934273,11,10,5,5,2.25,3.4,3.2
2024-08-31,28069,ligue1,Toulouse,Marseille,1,3,0.485368,1.29819,0.485368,1.29819,4,11,2,5,3.8,3.8,1.9
2024-09-01,28073,ligue1,Angers,Nice,1,4,1.33204,2.53408,0.571945,2.53408,12,12,7,9,4.0,3.3,2.0
2024-09-01,28071,ligue1,Le Havre,Auxerre,3,1,2.83661,0.743523,2.07651,0.743523,21,7,8,2,2.75,3.3,2.6
2024-09-01,28074,ligue1,Lille,Paris SG,1,3,1.57562,3.24139,1.57562,2.48129,10,10,4,7,3.9,3.8,1.85
2024-09-01,28070,ligue1,Monaco,Lens,1,1,0.905621,1.91297,0.905621,1.15287,14,12,3,4,1.85,3.9,3.9
2024-09-01,28072,ligue1,Reims,Rennes,2,1,2.00948,1.02619,2.00948,1.02619,11,13,7,5,2.9,3.5,2.38
2024-09-13,28075,ligue1,St Etienne,Lille,1,0,1.1774,2.73176,1.1774,2.73176,10,17,5,4,5.5,3.6,1.7
2024-09-14,28077,ligue1,Auxerre,Monaco,0,3,0.419427,3.37672,0.419427,3.37672,13,19,3,9,3.9,3.75,1.85
2024-09-14,28076,ligue1,Marseille,Nice,2,0,1.02694,1.72041,1.02694,1.72041,10,12,5,4,1.7,3.9,4.5
2024-09-14,28079,ligue1,Paris SG,Brest,3,1,2.91245,1.00928,2.91245,0.249183,22,5,9,3,1.27,6.0,10.0
2024-09-15,28078,ligue1,Lens,Lyon,0,0,0.623644,0.529029,0.623644,0.529029,12,8,5,3,1.8,3.75,4.33
2024-09-15,28081,ligue1,Nantes,Reims,1,2,1.43325,0.549218,1.43325,0.549218,18,11,6,4,2.38,3.4,3.0
2024-09-15,28080,ligue1,Rennes,Montpellier,3,0,1.26867,0.310262,1.26867,0.310262,11,12,6,4,1.62,4.0,5.25
2024-09-15,28083,ligue1,Strasbourg,Angers,1,1,2.47918,0.855084,2.47918,0.855084,10,12,5,2,1.7,3.8,5.25
2024-09-15,28082,ligue1,Toulouse,Le Havre,2,0,1.8674,0.15045,1.8674,0.15045,15,5,7,3,1.8,3.6,4.5
2024-09-20,28085,ligue1,Nice,St Etienne,8,0,4.50007,0.335532,3.73998,0.335532,18,8,12,2,1.53,4.1,6.5
2024-09-21,28090,ligue1,Lille,Strasbourg,3,3,2.30213,3.02005,1.54204,3.02005,15,12,7,9,1.7,4.0,4.75
2024-09-21,28086,ligue1,Reims,Paris SG,1,1,0.760314,1.90277,0.760314,1.90277,8,11,1,4,6.5,4.75,1.44
2024-09-21,28091,ligue1,Rennes,Lens,1,1,1.34636,0.853348,0.586263,0.853348,11,10,6,2,2.35,3.4,3.0
2024-09-22,28088,ligue1,Angers,Nantes,1,1,0.82486,1.28588,0.0647651,1.28588,4,9,1,3,3.2,3.3,2.3
2024-09-22,28087,ligue1,Brest,Toulouse,2,0,0.709045,2.3505,0.709045,1.5904,9,10,5,1,2.15,3.5,3.4
2024-09-22,28084,ligue1,Lyon,Marseille,2,3,3.89273,0.675578,3.10472,0.675578,18,6,9,5,2.9,3.8,2.2
2024-09-22,28092,ligue1,Monaco,Le Havre,3,1,1.84023,0.580512,1.84023,0.580512,14,9,4,2,1.36,4.75,8.5
2024-09-22,28089,ligue1,Montpellier,Auxerre,3,2,1.78396,1.42586,1.78396,1.42586,14,11,5,6,2.3,3.3,3.2
2024-09-27,28095,ligue1,Auxerre,Brest,3,0,2.9504,0.726126,2.1903,0.726126,15,8,4,4,2.75,3.4,2.55
2024-09-27,28094,ligue1,Paris SG,Rennes,3,1,3.22405,2.02646,3.22405,1.26636,22,13,7,5,1.38,5.25,7.5
2024-09-28,28098,ligue1,Le Havre,Lille,0,3,0.488988,3.5706,0.488988,2.8105,7,18,4,10,4.75,3.7,1.75
2024-09-28,28096,ligue1,Lens,Nice,0,0,2.06424,0.9614,2.06424,0.9614,22,15,7,4,2.05,3.4,3.75
2024-09-28,28100,ligue1,Monaco,Montpellier,2,1,3.45707,0.768868,3.45707,0.768868,21,9,7,4,1.33,5.5,7.5
2024-09-29,28101,ligue1,Angers,Reims,1,3,1.08284,4.18122,1.08284,4.18122,14,21,3,10,3.6,3.2,2.2
2024-09-29,28097,ligue1,Nantes,St Etienne,2,2,2.61562,1.0242,2.61562,0.264104,16,5,3,3,1.73,3.8,4.75
2024-09-29,28093,ligue1,Strasbourg,Marseille,1,0,1.67455,0.782395,1.67455,0.782395,14,10,6,3,3.4,3.9,2.0
2024-09-29,28099,ligue1,Toulouse,Lyon,1,2,0.716626,0.730803,0.716626,0.730803,10,4,4,1,2.45,3.4,2.88
2024-10-04,28109,ligue1,Marseille,Angers,1,1,0.896807,1.19435,0.896807,1.19435,13,8,4,3,1.25,6.0,12.0
2024-10-05,28106,ligue1,Lille,Toulouse,2,1,1.37754,1.43654,1.37754,1.43654,10,9,3,3,1.73,4.1,4.5
2024-10-05,28103,ligue1,Rennes,Monaco,1,2,0.640297,0.498715,0.640297,0.498715,14,5,3,2,2.7,3.5,2.55
2024-10-05,28107,ligue1,St Etienne,Auxerre,3,1,2.45106,0.71964,2.45106,0.71964,13,11,5,3,2.7,3.4,2.6
2024-10-06,28108,ligue1,Brest,Le Havre,2,0,0.890433,2.11913,0.890433,2.11913,8,14,3,0,1.8,3.6,4.5
2024-10-06,28102,ligue1,Lyon,Nantes,2,0,2.43324,0.765938,2.43324,0.765938,17,11,6,6,1.75,3.6,4.75
2024-10-06,28104,ligue1,Nice,Paris SG,1,1,0.326466,0.822322,0.326466,0.822322,9,19,3,9,4.75,4.0,1.7
2024-10-06,28105,ligue1,Reims,Montpellier,4,2,3.71514,0.874094,2.95504,0.874094,18,10,5,3,1.8,3.8,4.33
2024-10-06,28110,ligue1,Strasbourg,Lens,2,2,1.31135,1.43012,0.551251,1.43012,8,12,5,5,3.0,3.3,2.4
2024-10-18,28111,ligue1,Monaco,Lille,0,0,1.1914,0.163769,1.1914,0.163769,14,3,4,1,1.91,3.6,3.8
2024-10-19,28118,ligue1,Brest,Rennes,1,1,1.42573,1.14445,0.665637,1.14445,12,6,2,4,2.9,3.25,2.5
2024-10-19,28119,ligue1,Paris SG,Strasbourg,4,2,4.66981,2.22038,4.66981,2.22038,18,16,10,8,1.27,5.75,10.0
2024-10-19,28117,ligue1,St Etienne,Lens,0,2,0.782727,1.35593,0.782727,1.35593,15,13,1,5,5.25,3.75,1.67
2024-10-20,28113,ligue1,Auxerre,Reims,2,1,2.86385,1.22872,2.10375,1.22872,10,15,8,3,2.63,3.4,2.6
2024-10-20,28115,ligue1,Le Havre,Lyon,0,4,0.360268,2.76676,0.360268,2.76676,7,16,1,8,3.75,3.5,2.0
2024-10-20,28112,ligue1,Montpellier,Marseille,0,5,1.75684,3.88109,1.75684,3.88109,13,21,5,10,4.33,4.0,1.73
2024-10-20,28116,ligue1,Nantes,Nice,1,1,0.832336,0.776883,0.832336,0.776883,11,13,7,7,3.25,3.1,2.38
2024-10-20,28114,ligue1,Toulouse,Angers,1,1,2.43778,1.47299,2.43778,0.7129,18,8,6,4,1.57,3.75,6.5
2024-10-25,28123,ligue1,Rennes,Le Havre,1,0,1.84154,0.272294,1.84154,0.272294,20,5,4,1,1.45,4.0,7.5
2024-10-26,28121,ligue1,Angers,St Etienne,4,2,3.26778,1.33,2.50768,0.569909,13,19,8,7,2.45,3.3,2.9
2024-10-26,28120,ligue1,Lens,Lille,0,2,0.865293,1.47637,0.865293,0.716276,11,11,4,3,2.3,3.4,3.1
2024-10-26,28122,ligue1,Reims,Brest,1,2,1.44911,1.64092,1.44911,0.880825,11,13,3,4,2.15,3.5,3.25
2024-10-27,28126,ligue1,Lyon,Auxerre,2,2,2.21183,1.0609,1.45173,1.0609,12,17,8,4,1.48,5.0,5.5
2024-10-27,28127,ligue1,Marseille,Paris SG,0,3,0.277951,4.04221,0.277951,4.04221,5,19,1,8,3.9,3.7,1.9
2024-10-27,28124,ligue1,Montpellier,Toulouse,0,3,0.241419,2.88708,0.241419,2.88708,9,15,2,6,3.1,3.6,2.2
2024-10-27,28128,ligue1,Nice,Monaco,2,1,1.79435,0.796703,1.79435,0.796703,17,11,9,5,3.2,3.5,2.2
2024-10-27,28125,ligue1,Strasbourg,Nantes,3,1,1.99679,0.761926,1.99679,0.761926,9,8,5,6,1.85,3.6,4.2
2024-11-01,28136,ligue1,Lille,Lyon,1,1,1.67241,1.58011,1.67241,1.58011,14,14,2,3,2.15,3.75,3.1
2024-11-01,28129,ligue1,Monaco,Angers,0,1,1.47525,0.50003,1.47525,0.50003,11,10,3,3,1.22,6.5,12.0
2024-11-02,28134,ligue1,Brest,Nice,0,1,1.02021,1.92085,1.02021,1.92085,16,12,6,3,2.63,3.25,2.75
2024-11-02,28130,ligue1,Paris SG,Lens,1,0,2.76932,0.803421,2.76932,0.803421,18,13,8,2,1.42,5.0,6.25
2024-11-02,28137,ligue1,St Etienne,Strasbourg,2,0,2.82745,0.451174,2.82745,0.451174,13,9,3,3,3.8,3.7,1.91
2024-11-03,28131,ligue1,Auxerre,Rennes,4,0,2.39897,0.701873,1.63888,0.701873,16,7,8,4,3.5,3.6,2.05
2024-11-03,28133,ligue1,Le Havre,Montpellier,1,0,1.7998,0.722691,1.03971,0.722691,12,15,4,1,2.2,3.5,3.2
2024-11-03,28135,ligue1,Nantes,Marseille,1,2,1.25901,0.876221,1.25901,0.876221,7,9,3,4,3.7,3.5,2.05
