fecha,game_id,liga,local,visita,goles_local,goles_visita,xg_local,xg_visita,npxg_local,npxg_visita,tiros_local,tiros_visita,sot_local,sot_visita,cuota_h,cuota_d,cuota_a
2025-08-15,29538,ligue1,Rennes,Marseille,1,0,1.31418,2.07298,1.31418,2.07298,12,24,5,2,3.5,3.6,2.05
2025-08-16,29539,ligue1,Lens,Lyon,0,1,1.87447,1.615,1.87447,1.615,18,11,5,3,2.3,3.6,2.9
2025-08-16,29540,ligue1,Monaco,Le Havre,3,1,1.88048,0.427494,1.88048,0.427494,13,9,3,4,1.33,5.25,8.0
2025-08-16,29541,ligue1,Nice,Toulouse,0,1,0.95554,0.56945,0.95554,0.56945,13,10,2,2,2.1,3.3,3.6
2025-08-17,29544,ligue1,Angers,Paris FC,1,0,0.82142,0.71125,0.82142,0.71125,8,17,2,7,2.63,3.2,2.8
2025-08-17,29543,ligue1,Auxerre,Lorient,1,0,1.4925,1.84516,0.732401,1.84516,7,14,3,3,2.38,3.3,3.0
2025-08-17,29542,ligue1,Brest,Lille,3,3,1.49573,1.84218,1.49573,1.84218,18,10,5,6,3.3,3.4,2.2
2025-08-17,29545,ligue1,Metz,Strasbourg,0,1,0.184483,0.731013,0.184483,0.731013,2,9,0,4,3.2,3.4,2.25
2025-08-17,29546,ligue1,Nantes,Paris SG,0,1,0.124428,1.35682,0.124428,1.35682,6,18,0,4,7.5,5.5,1.36
2025-08-22,29547,ligue1,Paris SG,Angers,1,0,2.0878,0.176876,1.32771,0.176876,21,3,4,0,1.08,12.0,21.0
2025-08-23,29550,ligue1,Lyon,Metz,3,0,2.35479,0.504863,2.35479,0.504863,13,11,8,2,1.4,5.0,7.0
2025-08-23,29548,ligue1,Marseille,Paris FC,5,2,3.337,1.05457,1.81681,1.05457,12,8,7,4,1.38,5.0,7.5
2025-08-23,29549,ligue1,Nice,Auxerre,3,1,2.66284,2.24407,2.66284,2.24407,16,12,6,8,1.62,4.2,5.0
2025-08-24,29553,ligue1,Le Havre,Lens,1,2,2.0398,1.29098,2.0398,0.530884,18,6,6,3,3.75,3.6,1.95
2025-08-24,29555,ligue1,Lille,Monaco,1,0,2.41091,1.52213,1.65081,1.52213,18,6,1,1,3.1,3.6,2.2
2025-08-24,29551,ligue1,Lorient,Rennes,4,0,3.4466,0.0728372,3.4466,0.0728372,22,5,7,1,2.8,3.3,2.55
2025-08-24,29552,ligue1,Strasbourg,Nantes,1,0,1.81743,0.425423,1.81743,0.425423,15,9,4,2,1.75,3.5,5.0
2025-08-24,29554,ligue1,Toulouse,Brest,2,0,1.32432,0.750148,1.32432,0.750148,6,16,3,2,2.1,3.6,3.3
2025-08-29,29556,ligue1,Lens,Brest,3,1,4.42054,0.963409,3.66045,0.963409,30,9,10,2,1.85,3.75,4.0
2025-08-30,29557,ligue1,Lorient,Lille,1,7,1.1603,3.70255,0.245616,3.70255,6,20,2,11,3.4,3.5,2.1
