k,rho,rps,logloss,brier,acierto,n
0.0,-0.03,0.199032,0.985649,0.585886,0.524798,2843
0.0,-0.06,0.198983,0.985053,0.585592,0.524094,2843
0.0,-0.09,0.198954,0.984687,0.585416,0.524446,2843
0.0,-0.12,0.198944,0.984546,0.585358,0.525149,2843
0.0,-0.15,0.198954,0.984624,0.585418,0.523743,2843
0.0,-0.18,0.198983,0.984915,0.585596,0.524094,2843
0.0,0.0,0.1991,0.986482,0.586297,0.524446,2843
2.0,-0.03,0.198876,0.984574,0.58548,0.523391,2843
2.0,-0.06,0.198828,0.983929,0.585196,0.523391,2843
2.0,-0.09,0.198801,0.983514,0.585032,0.523743,2843
2.0,-0.12,0.198794,0.983321,0.584988,0.523743,2843
2.0,-0.15,0.198807,0.983346,0.585065,0.522687,2843
2.0,-0.18,0.198839,0.983583,0.585262,0.522336,2843
2.0,0.0,0.198943,0.985457,0.585885,0.524446,2843
4.0,-0.03,0.199168,0.985487,0.586059,0.525149,2843
4.0,-0.06,0.199122,0.984825,0.585787,0.524798,2843
4.0,-0.09,0.199097,0.984392,0.585636,0.524798,2843
4.0,-0.12,0.199093,0.984183,0.585608,0.525501,2843
4.0,-0.15,0.199108,0.98419,0.585702,0.523743,2843
4.0,-0.18,0.199144,0.984408,0.585917,0.523039,2843
4.0,0.0,0.199234,0.986387,0.586453,0.525853,2843
6.0,-0.03,0.199639,0.987015,0.587027,0.525149,2843
6.0,-0.06,0.199595,0.986348,0.586766,0.524798,2843
6.0,-0.09,0.199572,0.98591,0.586629,0.525501,2843
6.0,-0.12,0.19957,0.985696,0.586615,0.525501,2843
6.0,-0.15,0.199588,0.985698,0.586724,0.524798,2843
6.0,-0.18,0.199627,0.985911,0.586956,0.524094,2843
6.0,0.0,0.199703,0.98792,0.587411,0.525149,2843
