xi,k,w,rps,logloss,brier,acierto,n
0.0,0.0,1.0,0.207788,1.0162,0.605563,0.500528,2843
0.0,12.0,1.0,0.205632,1.00511,0.599553,0.509673,2843
0.0,16.0,1.0,0.206626,1.008072,0.601515,0.510376,2843
0.0,2.0,1.0,0.205465,1.00545,0.60004,0.501231,2843
0.0,24.0,1.0,0.208616,1.013901,0.605532,0.507562,2843
0.0,4.0,1.0,0.20471,1.002505,0.598144,0.502286,2843
0.0,6.0,1.0,0.204608,1.002053,0.597734,0.504749,2843
0.0,8.0,1.0,0.204817,1.002658,0.598033,0.506155,2843
0.001,0.0,1.0,0.207447,1.015308,0.604945,0.501935,2843
0.001,12.0,1.0,0.20495,1.00311,0.598282,0.507562,2843
0.001,16.0,1.0,0.205684,1.005285,0.599684,0.509673,2843
0.001,2.0,1.0,0.205392,1.005574,0.600045,0.500879,2843
0.001,24.0,1.0,0.207259,1.009909,0.602809,0.507562,2843
0.001,4.0,1.0,0.204594,1.002375,0.59807,0.501935,2843
0.001,6.0,1.0,0.204367,1.001463,0.597398,0.504397,2843
0.001,8.0,1.0,0.204428,1.001578,0.597386,0.506155,2843
0.002,0.0,1.0,0.207569,1.015957,0.60536,0.502286,2843
0.002,12.0,1.0,0.204861,1.002942,0.598307,0.505804,2843
0.002,16.0,1.0,0.20536,1.004367,0.599208,0.509321,2843
0.002,2.0,1.0,0.205723,1.007062,0.600946,0.503342,2843
0.002,24.0,1.0,0.206523,1.00773,0.601449,0.509321,2843
0.002,4.0,1.0,0.204926,1.003744,0.598985,0.504045,2843
0.002,6.0,1.0,0.204623,1.002503,0.598157,0.50299,2843
0.002,8.0,1.0,0.204577,1.002219,0.597918,0.504397,2843
0.003,0.0,1.0,0.208105,1.017992,0.606689,0.500176,2843
0.003,12.0,1.0,0.205311,1.004563,0.599508,0.507211,2843
0.003,16.0,1.0,0.205634,1.00539,0.600037,0.509673,2843
0.003,2.0,1.0,0.206422,1.009795,0.602656,0.50299,2843
0.003,24.0,1.0,0.206465,1.007675,0.60157,0.506859,2843
0.003,4.0,1.0,0.205645,1.006454,0.600749,0.502286,2843
0.003,6.0,1.0,0.205304,1.005007,0.599844,0.501583,2843
0.003,8.0,1.0,0.205192,1.004449,0.599469,0.504397,2843
0.004,0.0,1.0,0.208971,1.021135,0.60873,0.497362,2843
0.004,12.0,1.0,0.206173,1.007644,0.601597,0.504045,2843
0.004,16.0,1.0,0.206378,1.008041,0.601875,0.505452,2843
0.004,2.0,1.0,0.207418,1.01354,0.605003,0.498417,2843
0.004,24.0,1.0,0.206974,1.00952,0.602909,0.50299,2843
0.004,4.0,1.0,0.206669,1.010238,0.603169,0.499472,2843
0.004,6.0,1.0,0.206311,1.008677,0.602234,0.497714,2843
0.004,8.0,1.0,0.20616,1.007943,0.601778,0.501935,2843
0.006,0.0,1.0,0.211349,1.029649,0.614152,0.498417,2843
0.006,12.0,1.0,0.20865,1.016587,0.607337,0.501935,2843
0.006,16.0,1.0,0.208724,1.0165,0.607343,0.505452,2843
0.006,2.0,1.0,0.209987,1.02281,0.610883,0.500879,2843
0.006,24.0,1.0,0.209052,1.017036,0.607817,0.504045,2843
0.006,4.0,1.0,0.209301,1.019835,0.609204,0.501231,2843
0.006,6.0,1.0,0.208938,1.018243,0.608273,0.501935,2843
0.006,8.0,1.0,0.208751,1.017335,0.607748,0.501583,2843
0.008,0.0,1.0,0.214108,1.039867,0.620314,0.492789,2843
0.008,12.0,1.0,0.211538,1.027457,0.61387,0.495251,2843
0.008,16.0,1.0,0.211543,1.027126,0.613738,0.497362,2843
0.008,2.0,1.0,0.212898,1.033612,0.617407,0.494548,2843
0.008,24.0,1.0,0.211737,1.027196,0.613937,0.497714,2843
0.008,4.0,1.0,0.212253,1.030751,0.615836,0.492086,2843
0.008,6.0,1.0,0.211893,1.029207,0.614924,0.493141,2843
0.008,8.0,1.0,0.211692,1.028317,0.614381,0.492438,2843
0.012,0.0,1.0,0.219747,1.062111,0.632815,0.48892,2843
0.012,12.0,1.0,0.217355,1.050182,0.626881,0.488568,2843
0.012,16.0,1.0,0.217262,1.049639,0.626559,0.490679,2843
0.012,2.0,1.0,0.218771,1.056704,0.630455,0.488217,2843
0.012,24.0,1.0,0.217273,1.049309,0.62639,0.492086,2843
0.012,4.0,1.0,0.218194,1.053973,0.629053,0.487513,2843
0.012,6.0,1.0,0.217834,1.052365,0.62816,0.488217,2843
0.012,8.0,1.0,0.217602,1.051337,0.627565,0.487513,2843
