xi,k,w,rps,logloss,brier,acierto,n
0.0,0.0,0.0,0.199402,0.987133,0.586791,0.51917,2843
0.0,0.0,0.25,0.199832,0.988556,0.587875,0.514949,2843
0.0,0.0,0.5,0.201341,0.993513,0.591314,0.511432,2843
0.0,0.0,0.75,0.203961,1.002554,0.597201,0.5051,2843
0.0,0.0,1.0,0.207675,1.016148,0.605537,0.500528,2843
0.0,2.0,0.0,0.199367,0.986587,0.586631,0.521632,2843
0.0,2.0,0.25,0.199618,0.987364,0.587272,0.515652,2843
0.0,2.0,0.5,0.200678,0.990575,0.589665,0.511432,2843
0.0,2.0,0.75,0.202582,0.996474,0.593889,0.506507,2843
0.0,2.0,1.0,0.205356,1.005425,0.600021,0.500528,2843
0.0,4.0,0.0,0.199982,0.988624,0.587884,0.519873,2843
0.0,4.0,0.25,0.200137,0.989078,0.588286,0.518466,2843
0.0,4.0,0.5,0.200939,0.991409,0.590079,0.515301,2843
0.0,4.0,0.75,0.202418,0.9958,0.593338,0.508266,2843
0.0,4.0,1.0,0.204604,1.00249,0.59813,0.501935,2843
0.0,6.0,0.0,0.200809,0.991291,0.589594,0.518115,2843
0.0,6.0,0.25,0.200901,0.991542,0.589839,0.518115,2843
0.0,6.0,0.5,0.201529,0.993317,0.591232,0.51917,2843
0.0,6.0,0.75,0.202722,0.996759,0.59384,0.510728,2843
0.0,6.0,1.0,0.204505,1.002049,0.597725,0.504397,2843
0.0,8.0,0.0,0.201696,0.994074,0.591434,0.517763,2843
0.0,8.0,0.25,0.201743,0.994182,0.591566,0.519873,2843
0.0,8.0,0.5,0.202245,0.995567,0.592669,0.516708,2843
0.0,8.0,0.75,0.203228,0.998344,0.594804,0.51108,2843
0.0,8.0,1.0,0.204716,1.002661,0.598028,0.506155,2843
0.0,12.0,0.0,0.20344,0.999399,0.595056,0.518466,2843
0.0,12.0,0.25,0.203427,0.999317,0.595034,0.519873,2843
0.0,12.0,0.5,0.203757,1.000185,0.595745,0.514246,2843
0.0,12.0,0.75,0.204452,1.002087,0.597235,0.51108,2843
0.0,12.0,1.0,0.205535,1.005126,0.599556,0.509321,2843
0.0,16.0,0.0,0.205043,1.004171,0.598381,0.510728,2843
0.0,16.0,0.25,0.204989,1.00397,0.598261,0.514597,2843
0.0,16.0,0.5,0.205207,1.004511,0.598717,0.51319,2843
0.0,16.0,0.75,0.205716,1.005861,0.599791,0.511432,2843
0.0,16.0,1.0,0.206533,1.008098,0.601524,0.509673,2843
0.0,24.0,0.0,0.207771,1.012124,0.604035,0.508969,2843
0.0,24.0,0.25,0.20767,1.011785,0.603799,0.508969,2843
0.0,24.0,0.5,0.207753,1.011945,0.603954,0.506859,2843
0.0,24.0,0.75,0.208035,1.012647,0.604527,0.508266,2843
0.0,24.0,1.0,0.208528,1.013941,0.60555,0.507562,2843
0.001,0.0,0.0,0.199148,0.98649,0.586317,0.526205,2843
0.001,0.0,0.25,0.199556,0.987851,0.587362,0.517411,2843
0.001,0.0,0.5,0.201039,0.992741,0.590757,0.511432,2843
0.001,0.0,0.75,0.203637,1.001715,0.596604,0.506155,2843
0.001,0.0,1.0,0.207334,1.015263,0.604917,0.501935,2843
0.001,2.0,0.0,0.199044,0.985667,0.586015,0.526908,2843
0.001,2.0,0.25,0.199297,0.986454,0.586677,0.520225,2843
0.001,2.0,0.5,0.200397,0.989815,0.589173,0.51319,2843
0.001,2.0,0.75,0.202381,0.996038,0.593592,0.504749,2843
0.001,2.0,1.0,0.205282,1.005545,0.600021,0.501583,2843
0.001,4.0,0.0,0.199473,0.987079,0.586874,0.525853,2843
0.001,4.0,0.25,0.199641,0.987572,0.587324,0.52128,2843
0.001,4.0,0.5,0.20051,0.990128,0.589282,0.514246,2843
0.001,4.0,0.75,0.202114,0.994959,0.592832,0.503693,2843
0.001,4.0,1.0,0.204486,1.002355,0.598051,0.501935,2843
0.001,6.0,0.0,0.2001,0.989125,0.588164,0.523743,2843
0.001,6.0,0.25,0.200213,0.989435,0.588473,0.520225,2843
0.001,6.0,0.5,0.200923,0.991469,0.590062,0.517411,2843
0.001,6.0,0.75,0.202262,0.9954,0.593009,0.504749,2843
0.001,6.0,1.0,0.204261,1.001453,0.597384,0.504749,2843
0.001,8.0,0.0,0.200799,0.991347,0.589609,0.520225,2843
0.001,8.0,0.25,0.200872,0.991526,0.589814,0.520929,2843
0.001,8.0,0.5,0.201464,0.993187,0.591131,0.518818,2843
